ticker,name,market,locale,type,currency,active,primaryExch,updated,codes,url
A,Agilent Technologies Inc.,STOCKS,US,CS,USD,True,NYE,2020-10-26,"{'cik': '0001090872', 'figiuid': 'EQ0087231700001000', 'scfigi': 'BBG001SCTQY4', 'cfigi': 'BBG000C2V3D6', 'figi': 'BBG000C2V3D6'}",https://api.polygon.io/v2/tickers/A
AA,Alcoa Corporation,STOCKS,US,CS,USD,True,NYE,2020-10-26,"{'cik': '0001675149', 'figiuid': 'EQ0000000045469815', 'scfigi': 'BBG00B3T3HF1', 'cfigi': 'BBG00B3T3HD3', 'figi': 'BBG00B3T3HD3'}",https://api.polygon.io/v2/tickers/AA
AAA,AAF First Priority CLO Bond ETF,STOCKS,US,,USD,True,ARCA,2020-09-10,,https://api.polygon.io/v2/tickers/AAA
AAAG,AAA Century Group USA Inc,STOCKS,US,,USD,True,GREY,2020-06-23,"{'cik': '0001451947', 'figiuid': 'EQ0000000017880153', 'scfigi': 'BBG001V28ND5', 'cfigi': 'BBG001R3MPR2', 'figi': 'BBG001R3MQ72'}",https://api.polygon.io/v2/tickers/AAAG
AAAIF,Alternative Investment Trust Units (Austrailia),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000021131053', 'scfigi': 'BBG001SPVKJ2', 'cfigi': 'BBG0029J1X37', 'figi': 'BBG0029J1X37'}",https://api.polygon.io/v2/tickers/AAAIF
AAALF,Aareal Bank AG AKT,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000000233556', 'scfigi': 'BBG001SG8HX9', 'cfigi': 'BBG000PL5HY5', 'figi': 'BBG000PL5HY5'}",https://api.polygon.io/v2/tickers/AAALF
AAALY,Aareal Bank AG Unsponsored American Depository Receipt (Germany),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000020573680', 'scfigi': 'BBG002628F57', 'cfigi': 'BBG002628DF1', 'figi': 'BBG002628DX1'}",https://api.polygon.io/v2/tickers/AAALY
AAAP,Wool Industry Tria Alfa S.A..,STOCKS,US,PFD,EUR,True,NGS,2020-06-23,"{'figiuid': 'EQ0016246000100000', 'scfigi': 'BBG001S7LXQ7', 'cfigi': 'BBG000C06GP6', 'figi': 'BBG000C06H01'}",https://api.polygon.io/v2/tickers/AAAP
AAARF,Aluar Aluminio Argentino Sa Alua Ordinary Shares 1 Vote (Argentina),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000008276662', 'scfigi': 'BBG001S8KMC5', 'cfigi': 'BBG000RV3PZ4', 'figi': 'BBG000RV3PZ4'}",https://api.polygon.io/v2/tickers/AAARF
AAAU,Perth Mint Physical Gold ETF (Trust),STOCKS,US,,USD,True,ARCA,2020-06-23,"{'cik': '0001708646', 'figiuid': 'EQ0000000067365924', 'scfigi': 'BBG00LPXX8Z1', 'cfigi': 'BBG00LPXX872', 'figi': 'BBG00LPXX8D5'}",https://api.polygon.io/v2/tickers/AAAU
